('2018/11/02', '00:45:50', 2.0, 'MLr_3', 33L, 6.823, 0.71, -73.14, 0.71, 143.0, 1.5, 0.32, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vlhy', '2019/08/28 15:13:13', 'Los Santos - Santander, Colombia')
('2018/11/02', '00:58:04', 2.0, 'MLr_3', 26L, 6.835, 1.63, -73.151, 1.63, 143.0, 2.5, 0.47, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vlij', '2019/08/28 15:13:15', 'Los Santos - Santander, Colombia')
('2018/11/02', '03:42:34', 1.7, 'MLr_3', 13L, 6.799, 4.53, -73.118, 4.53, 143.0, 6.5, 0.81, 'manual', 'SGC', 'Dmartinez@proc3', 'SGC2018vlnu', '2019/08/28 15:13:16', 'Los Santos - Santander, Colombia')
('2018/11/02', '04:16:45', 1.7, 'MLr_3', 19L, 6.782, 1.63, -73.113, 1.63, 138.0, 2.4, 0.35, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlox', '2019/08/28 15:13:17', 'Los Santos - Santander, Colombia')
('2018/11/02', '04:28:34', 2.3, 'MLr_3', 59L, 6.826, 0.85, -73.147, 0.85, 145.0, 1.8, 0.52, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlph', '2019/08/28 15:13:23', 'Los Santos - Santander, Colombia')
('2018/11/02', '04:33:20', 1.8, 'MLr_2', 65L, 6.754, 0.92, -73.528, 0.92, 107.0, 1.7, 0.53, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vlpl', '2019/08/30 21:00:13', 'El Carmen - Santander, Colombia')
('2018/11/02', '04:53:41', 1.9, 'MLr_3', 19L, 6.866, 2.83, -73.212, 2.83, 149.0, 2.6, 0.41, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlqd', '2019/08/28 15:13:32', 'Zapatoca - Santander, Colombia')
('2018/11/02', '04:54:49', 1.9, 'MLr_3', 25L, 6.808, 1.56, -73.159, 1.56, 145.0, 1.8, 0.35, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlqe', '2019/08/28 15:13:34', 'Los Santos - Santander, Colombia')
('2018/11/02', '05:36:46', 1.7, 'MLr_3', 17L, 6.824, 1.84, -73.166, 1.84, 133.0, 2.7, 0.37, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlro', '2019/08/28 15:13:35', 'Los Santos - Santander, Colombia')
('2018/11/02', '06:27:47', 1.7, 'MLr_2', 24L, 6.806, 1.77, -73.124, 1.77, 133.0, 2.2, 0.37, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vltf', '2019/08/28 15:13:36', 'Los Santos - Santander, Colombia')
('2018/11/02', '08:33:45', 1.0, 'MLr', 31L, 8.765, 1.7, -73.336, 1.7, 128.0, 2.2, 0.41, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vlxj', '2019/08/30 19:25:48', 'El Carmen - Norte de Santander, Colombia')
('2018/11/02', '08:38:27', 1.4, 'MLr_4', 9L, 9.344, 4.6, -73.358, 4.6, 112.0, 5.3, 0.49, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlxn', '2019/08/28 15:13:40', 'Curuman\xc3\xad - Cesar, Colombia')
('2018/11/02', '08:40:01', 2.3, 'MLr_3', 59L, 6.81, 0.78, -73.138, 0.78, 149.0, 1.4, 0.41, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlxp', '2019/08/28 15:13:41', 'Los Santos - Santander, Colombia')
('2018/11/02', '09:04:07', 1.7, 'MLr', 7L, 7.007, 7.07, -74.271, 15.73, 5.0, None, 1.57, 'automatic', 'SGC', 'scanloc', 'SGC22018vlyj', '2018/11/02 09:05:15', 'Remedios - Antioquia, Colombia')
('2018/11/02', '09:04:11', 2.4, 'MLr_3', 67L, 6.823, 0.71, -73.168, 0.71, 146.0, 1.3, 0.42, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlyk', '2019/08/28 15:13:46', 'Los Santos - Santander, Colombia')
('2018/11/02', '09:25:24', 1.8, 'MLr_3', 29L, 6.867, 3.18, -73.162, 3.18, 150.0, 3.4, 0.8, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlzc', '2019/08/28 15:13:49', 'Los Santos - Santander, Colombia')
('2018/11/02', '09:34:56', 1.0, 'MLr', 27L, 7.302, 1.34, -73.452, 1.34, 104.0, 2.1, 0.36, 'manual', 'SGC', 'kvallejo@proc1', 'SGC2018vlzk', '2019/08/30 18:53:19', 'Sabana de Torres - Santander, Colombia')
('2018/11/02', '09:43:21', 2.0, 'MLr_3', 41L, 6.807, 0.92, -73.158, 0.92, 142.0, 1.6, 0.39, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vlzr', '2019/08/28 15:13:53', 'Los Santos - Santander, Colombia')
('2018/11/02', '10:21:22', 1.6, 'MLr_3', 21L, 6.832, 1.98, -73.134, 1.98, 129.0, 3.6, 0.55, 'manual', 'SGC', 'Dhernandez@proc3', 'SGC2018vmay', '2019/08/28 15:13:55', 'Los Santos - Santander, Colombia')
